"Country","CasePerCap","DeathsPerCap","Population"
"Guatemala",343.211941489371,13.382296558678,16604026
"Guinea",62.0926102276943,0.391504478106522,12771246
"Guinea-Bissau",106.823702367925,1.5096917001315,1920922
"Guyana",72.56319257607,2.81054619132665,782766
"Haiti",67.7789914780837,1.62477802469077,11263077
"Honduras",491.190491556791,15.4523078267991,9746117
"Hungary",48.4239989379678,6.1924581182563,9769949
"Iceland",543.019487258969,2.76768342129954,361313
"India",166.030849157131,3.31209104005831,1366417754
"Indonesia",46.9589776528432,2.13024957050621,270625568
"Iran",396.608983781321,22.452204820745,82913906
"Iraq",390.739882741149,13.8998477808946,39309783
"Ireland",541.704003930835,35.85996320104,4941444
"Israel",935.8134602852,6.77101167530072,9053300
"Italy",415.979821085474,58.3922396914122,60297396
"Jamaica",34.969553424218,0.474853295770176,2948279
"Japan",39.2959467106508,0.833168791736797,126264931
"Jordan",12.5523501305821,0.108892627315775,10101694
"Kazakhstan",541.019653849831,5.71461596754444,18513930
"Kenya",51.2192601460803,0.804580623952464,52573973
"Korea, Rep.",28.3509103175615,0.589838175092515,51709098
"Kuwait",1720.90733650845,11.45686928449,4207083
"Kyrgyzstan",620.808747231644,22.8282922145302,6456900
"Latvia",67.4407893395455,1.672949813074,1912789
"Lebanon",99.3623857941544,1.16690999171056,6855713
"Lesotho",36.748306566513,1.12926934391333,2125268
"Liberia",25.1145649488979,1.60004083142172,4937374
"Libya",87.4812540169964,1.84435094486837,6777452
"Liechtenstein",234.093479576001,2.63026381546069,38019
"Lithuania",81.2747322778024,2.90651360463664,2786844
"Luxembourg",1164.06623046446,19.5194032547395,619896
"Madagascar",48.9519437781623,0.559895736290146,26969307
"Malawi",25.0902543257472,0.783734944706694,18628747
"Malaysia",28.4634224520566,0.391239037443047,31949777
"Maldives",971.272410175665,3.57847116411434,530953
"Mali",13.0887981609145,0.635872433002064,19658031
"Malta",221.226173921174,1.79049960907425,502653
"Mauritania",144.839600362022,3.46907967304918,4525696
"Mauritius",27.178400124515,0.790069771061482,1265711
"Mexico",380.822250010031,41.5463689748839,127575529
"Moldova",1047.58475292149,31.9832994498496,2657637
"Monaco",341.340724771584,10.2658864592958,38964
"Montenegro",594.081367930215,10.9300684575905,622137
"Morocco",93.3955246316679,1.41479290461617,36471769
"Mozambique",7.93979168041558,0.052690446655599,30366036
"Namibia",124.311994644282,0.761666526359675,2494530
"Nepal",81.4786825410863,0.276139679139675,28608710
"Netherlands",346.498123505367,35.6433015920636,17332850
"New Zealand",31.930038641448,0.447427293064877,4917000
"Nicaragua",59.6134566913279,1.87915304280711,6545502
"Niger",4.96767259176735,0.296001216607899,23310715
"Nigeria",23.3211388695323,0.47272242571651,200963599
"North Macedonia",573.181425696402,25.3424713421286,2083459
"Norway",181.080559532197,4.78692928957482,5347896
"Oman",1643.96442522652,10.472391279091,4974986
"Pakistan",131.443022654255,2.81531690129626,216565318
"Panama",1775.46410062643,39.185774245197,4246439
"Papua New Guinea",2.43843826461134,0.0341837139898787,8776109
"Paraguay",102.688059397249,1.16400620273354,7044636
"Peru",1486.08510622722,65.4435667199101,32510453
"Philippines",126.38020529962,2.12178303954485,108116615
"Poland",138.026846577195,4.76417793280186,37970874
"Portugal",514.391420661952,17.1285283283365,10269417
"Qatar",3999.26979128672,6.63826102984145,2832067
"Romania",323.13103000205,14.0985911534621,19356544
"Russia",617.009897277919,10.371014327522,144373535
"Rwanda",17.0429121838607,0.0554369820106993,12626950
"San Marino",2064.38275251034,124.040165386887,33860
"Sao Tome and Principe",408.265754036158,6.97492746075441,215056
"Saudi Arabia",846.102873166889,9.33509603914122,34268528
"Senegal",69.4142570698593,1.44817580166962,16296364
"Serbia",406.941709653382,9.30168935093359,6944975
"Sierra Leone",24.5353545243539,0.883119176932927,7813215
"Singapore",969.428089675079,0.473387803321043,5703569
"Slovakia",47.6524608306489,0.568382564736482,5454073
"Slovenia",108.000877417328,6.13042674475298,2087946
"Somalia",20.8963274720656,0.602218300248561,15442905
"South Africa",962.456711921305,18.1374893759669,58558270
"South Sudan",22.3284647336363,0.424873620437614,11062113
"Spain",686.07069799441,60.7008367883097,47076781
"Sri Lanka",13.167912672568,0.0504517726918314,21803000
"Sudan",27.9259419714996,1.82420213112589,42813238
"Suriname",428.125193507771,5.16020723392251,581372
"Sweden",806.692714457983,56.059757406893,10285453
"Switzerland",428.090019722835,23.1724656529714,8574832
"Syria",7.35202152765634,0.304625593177793,17070135
"Tajikistan",83.9715146993601,0.665163397388569,9321018
"Tanzania",0.877503555139281,0.0362034865578092,58005463
"Thailand",4.81288616014729,0.0833027147981327,69625582
"Togo",13.2015798344198,0.309315366317239,8082366
"Trinidad and Tobago",20.1437590548348,0.573487802272876,1394973
"Tunisia",14.6818405812059,0.436094274689285,11694719
"Turkey",290.06126901101,7.02148751375636,83429615
"Uganda",2.92977613483422,0.0203299808893662,44269594
"Ukraine",188.828900113112,4.39336079822184,44385155
"United Arab Emirates",641.766684280861,3.65384515004254,9770529
"United Kingdom",468.908191821263,69.7410263471336,66834405
"United States",1551.85120714424,49.7999139488148,328239523
"Uruguay",39.4022186568928,1.06882851195384,3461734
"Uzbekistan",93.2203516012942,0.595581086131448,33580650
"Venezuela",93.9828892928205,0.803062748061787,28515829
"Vietnam",0.878065009279395,0.0155501477440271,96462106
"West Bank and Gaza",309.69161886118,2.13433231468766,4685306
"Yemen",6.28216480381506,1.77628895653723,29161922
"Zambia",45.9659941223994,1.34930628300831,17861030
"Zimbabwe",32.4195853625162,0.710117286794795,14645468
